vvvvvv CALLID   MSID            USERNAME               IP                            TIME-IDLE
------ -------- --------------- ---------------------- ----------------------------- ---------
xTC.AI 0006c5de 302220035496206 n/a                    100.116.13.16   00166h06m
xTC.AI 00086963 302220322134060 n/a                    100.116.54.138  25h32m41s
xTC.AI 0008b2ee 302220551661003 n/a                    100.116.37.198  16h38m04s
xTC.AI 0008b2f8 302220802847383 n/a                    100.116.87.135  16h37m49s
xTC.AI 0008bed2 302220551687759 n/a                    100.117.169.162 15h31m43s
xTC.AI 0008bed3 302220322356412 n/a                    100.116.146.234 15h31m41s
xTC.AI 0008bf76 302220551704159 n/a                    100.121.36.161  15h23m35s
xTC.AI 0008c257 302220322661791 n/a                    100.120.152.124 14h21m03s
xTC.AI 0008c564 302220041236087 n/a                    100.117.38.206  13h05m25s
xTC.AI 0008c572 302220802547927 n/a                    100.117.10.3    13h03m43s
xTC.AI 0008c573 302220035458128 n/a                    100.117.117.169 13h03m31s
xTC.AI 0008c576 302220322323672 n/a                    100.117.113.40  13h03m06s
xTC.AI 0008d433 302220551704519 n/a                    100.117.49.80   06h34m15s
xTC.AI 0008dcac 302220318357994 n/a                    100.117.157.173 04h28m10s
xTC.AI 0008dfd8 302220322643415 n/a                    100.116.42.190  03h38m10s
xTC.DI 0008dfe6 302220322047468 n/a                    100.117.44.81   03h37m49s
xTC.DI 0008e964 302220802610630 n/a                    100.116.88.24   01h13m11s
xTC.DI 00528b59 302220807756168 n/a                    100.117.179.46  00164h09m
xTC.DI 00530d6a 302220809819530 n/a                    100.116.2.50    00121h24m
xTC.AI 005402ef 302220320461624 n/a                    100.121.21.121  23h31m59s
xTC.AI 00543cac 302220322295387 n/a                    100.121.8.224   16h41m57s
xTC.AI 00543cc9 302220551329932 n/a                    100.121.24.118  16h41m37s
xTC.DI 00543e1b 302220322662363 n/a                    100.116.124.96  16h38m08s
xTC.AI 00543e2b 302220035463054 n/a                    100.116.83.101  16h37m52s
xTC.AI 00543e35 302220550874635 n/a                    100.116.93.42   16h37m46s
xTC.DI 00543e40 302220551682840 n/a                    100.116.101.241 16h37m37s
xTC.AI 00544f7e 302220321550571 n/a                    100.117.141.147 15h31m55s
xTC.AI 00544f81 302220802379242 n/a                    100.117.147.175 15h31m50s
xTC.AI 00544f85 302220545076090 n/a                    100.117.185.240 15h31m43s
xTC.AI 00545126 302220551120093 n/a                    100.121.37.201  14h54m22s
xTC.AI 005453fc 302220806743621 n/a                    100.117.66.158  13h06m40s
xTC.AI 005453fe 302220035436070 n/a                    100.117.64.155  13h06m32s
xTC.DI 005453ff 302220550985665 n/a                    100.117.32.198  13h06m26s
xTC.AI 00545406 302220802688066 n/a                    100.117.31.39   13h06m02s
xTC.AI 0054541e 302220551661607 n/a                    100.117.55.17   13h05m13s
xTC.AI 005455f2 302220318726674 n/a                    100.117.76.140  12h07m18s
xTC.AI 00545e3e 302220551379956 n/a                    100.116.109.204 07h41m16s
xTC.AI 00545fa9 302220318364879 n/a                    100.116.128.117 06h54m03s
xTC.AI 005461d3 302220318727060 n/a                    100.117.177.145 05h49m24s
xTC.AI 00546374 302220035451708 n/a                    100.117.154.228 05h06m44s
xTC.AI 005468eb 302220322226030 n/a                    100.116.165.109 03h29m27s
xTC.AI 009ebe61 302220035447899 n/a                    100.116.127.82  00146h36m
xTC.DI 00a099e2 302220551620899 n/a                    100.121.14.9    16h41m55s
xTC.AI 00a09b9a 302220804394906 n/a                    100.116.123.54  16h38m08s
xTC.AI 00a09b9d 302220040629910 n/a                    100.116.126.18  16h38m08s
xTC.AI 00a09b9e 302220318726061 n/a                    100.116.125.244 16h38m08s
xTC.AI 00a09ba1 302220320979615 n/a                    100.116.15.38   16h38m07s
xTC.AI 00a09ba4 302220321295944 n/a                    100.116.38.88   16h38m05s
xTC.AI 00a09bab 302220035437256 n/a                    100.116.71.60   16h38m00s
xTC.AI 00a09bc0 302220318383515 n/a                    100.116.99.198  16h37m39s
xTC.AI 00a09c11 302220802547515 n/a                    100.116.110.253 16h36m25s
xTC.AI 00a09c49 302220035451349 n/a                    100.121.31.4    16h35m28s
xTC.DI 00a09d01 302220551667308 n/a                    100.116.116.100 16h32m25s
xTC.AI 00a09d92 302220322088841 n/a                    100.116.117.71  16h29m56s
xTC.AI 00a0a7f4 302220318715137 n/a                    100.117.129.68  15h31m45s
xTC.AI 00a0a7f6 302220551720451 n/a                    100.116.159.249 15h31m42s
xTC.DI 00a0a7fa 302220318364477 n/a                    100.116.143.157 15h31m42s
xTC.AI 00a0a7fb 302220322296280 n/a                    100.117.188.130 15h31m40s
xTC.DI 00a0a9e1 302220551411368 n/a                    100.121.38.126  14h38m50s
xTC.DI 00a0ac89 302220802691473 n/a                    100.117.18.211  13h06m22s
xTC.AI 00a0ac8d 302220802847212 n/a                    100.116.45.188  13h06m08s
xTC.AI 00a0aca7 302220802846109 n/a                    100.117.41.243  13h04m14s
xTC.AI 00a0ae49 302220802379377 n/a                    100.117.156.178 12h31m31s
xTC.AI 00a0b6c6 302220321535644 n/a                    100.116.111.163 07h19m16s
xTC.AI 00a0b703 302220320979448 n/a                    100.117.91.75   07h13m55s
xTC.AI 00a0b774 302220322225692 n/a                    100.116.158.83  06h59m08s
xTC.DI 00a0ba29 302220322080429 n/a                    100.117.161.120 06h04m56s
xTC.AI 00a0bd35 302220551687788 n/a                    100.116.146.232 05h02m24s
xTC.AI 00a0bdc4 302220322114761 n/a                    100.116.162.220 04h46m56s
xTC.AI 00a0be6f 302220322286470 n/a                    100.116.37.101  04h35m42s
xTC.AI 00a0c7c6 302220322224248 n/a                    100.117.85.173  01h51m16s
xTC.DI 00a0ca45 302220550902056 n/a                    100.116.175.44  01h08m49s
xTC.AI 00ed3d9e 302220322575719 n/a                    100.120.126.103 95h07m08s
xTC.DI 00ed9bf2 302220034829124 n/a                    100.117.128.13  59h28m59s
xTC.AI 00ee3640 302220035436641 n/a                    100.116.31.220  16h38m06s
xTC.AI 00ee3641 302220551690944 n/a                    100.116.54.94   16h38m03s
xTC.DI 00ee368a 302220551359094 n/a                    100.116.110.117 16h36m40s
xTC.AI 00ee3960 302220551690103 n/a                    100.121.32.250  16h20m01s
xTC.AI 00ee3987 302220322199088 n/a                    100.116.122.61  16h19m07s
xTC.AI 00ee3b07 302220551081962 n/a                    100.116.125.203 16h10m26s
xTC.AI 00ee3d45 302220804328684 n/a                    100.116.0.89    15h53m21s
xTC.AI 00ee4021 302220322296117 n/a                    100.117.137.24  15h31m43s
xTC.AI 00ee42f6 302220802368436 n/a                    100.120.178.21  14h20m23s
xTC.AI 00ee4593 302220320960487 n/a                    100.117.76.128  13h03m29s
xTC.DI 00ee4c03 302220318397784 n/a                    100.117.122.42  09h00m51s
xTC.AI 00ee4dcf 302220802546585 n/a                    100.120.161.60  07h58m22s
xTC.AI 00ee4e05 302220035429488 n/a                    100.116.108.230 07h55m29s
xTC.AI 00ee4f21 302220318397960 n/a                    100.117.105.111 07h33m55s
